scenario_id,scenario_label,wind_scenario,pv_scenario,production_ton,total_cost_yuan,ton_cost_yuan_per_ton,grid_purchase_mwh,grid_export_mwh,renewable_self_used_mwh,total_load_mwh,renewable_generation_mwh,renewable_self_use_ratio,green_power_ratio,renewable_export_ratio,renewable_self_use_pass,green_power_pass,renewable_export_pass,pass_count,satisfaction_type,on_hours,selected_times,avg_power_ratio,mean_running_power_ratio,min_running_power_ratio,max_running_power_ratio,utilization_rate,total_ammonia_output_ton,renewable_self_use_pct,green_power_pct,renewable_export_pct
W1_PV1,风电场景1_光伏场景1,风电场景1,光伏场景1,36.0,77341.44363333331,2148.373434259259,233.21019999999996,436.2541999999999,325.5098,558.7199999999999,761.7639999999999,0.4273105581256137,0.582599155211913,0.5726894418743863,False,True,False,1,部分满足,12,0:00-1:00;1:00-2:00;2:00-3:00;3:00-4:00;4:00-5:00;5:00-6:00;6:00-7:00;7:00-8:00;9:00-10:00;11:00-12:00;14:00-15:00;23:00-24:00,0.5,1.0,0.9999999999999996,1.0,0.5,36.0,42.73105581256137,58.259915521191296,57.26894418743863
W1_PV2,风电场景1_光伏场景2,风电场景1,光伏场景2,36.0,143524.22763333333,3986.784100925926,247.2901999999999,191.77419999999992,311.4298000000001,558.72,503.204,0.6188937289846664,0.5573986970217643,0.3811062710153335,True,True,False,2,部分满足,14,0:00-1:00;1:00-2:00;2:00-3:00;3:00-4:00;4:00-5:00;5:00-6:00;6:00-7:00;8:00-9:00;9:00-10:00;10:00-11:00;11:00-12:00;13:00-14:00;14:00-15:00;23:00-24:00,0.5,0.8571428571428573,0.2460722891566272,1.0,0.5,36.0,61.88937289846665,55.73986970217643,38.11062710153335
W1_PV3,风电场景1_光伏场景3,风电场景1,光伏场景3,36.0,186273.7316333333,5174.270323148146,247.2901999999999,26.01420000000001,311.42979999999994,558.7199999999999,337.444,0.9229080973435592,0.557398697021764,0.0770919026564408,True,True,True,3,全满足,19,0:00-1:00;1:00-2:00;2:00-3:00;3:00-4:00;4:00-5:00;5:00-6:00;6:00-7:00;7:00-8:00;8:00-9:00;9:00-10:00;10:00-11:00;11:00-12:00;12:00-13:00;13:00-14:00;14:00-15:00;16:00-17:00;17:00-18:00;18:00-19:00;23:00-24:00,0.4999999999999999,0.6315789473684209,0.1228433734939759,1.0,0.4999999999999999,35.999999999999986,92.29080973435592,55.73986970217641,7.70919026564408
W1_PV4,风电场景1_光伏场景4,风电场景1,光伏场景4,36.0,212412.0537333333,5900.3348259259255,287.8079999999999,1.891999999999996,270.912,558.7199999999999,272.804,0.9930646178208532,0.4848797250859107,0.0069353821791469,True,True,True,3,全满足,23,0:00-1:00;1:00-2:00;2:00-3:00;3:00-4:00;4:00-5:00;5:00-6:00;6:00-7:00;7:00-8:00;8:00-9:00;9:00-10:00;10:00-11:00;11:00-12:00;12:00-13:00;13:00-14:00;14:00-15:00;15:00-16:00;16:00-17:00;17:00-18:00;18:00-19:00;19:00-20:00;21:00-22:00;22:00-23:00;23:00-24:00,0.4999999999999998,0.5217391304347825,0.0999999999999999,1.0,0.4999999999999998,35.99999999999999,99.30646178208532,48.48797250859107,0.69353821791469
W2_PV1,风电场景2_光伏场景1,风电场景2,光伏场景1,36.0,99753.22053333333,2770.922792592592,263.2563999999999,363.4403999999999,295.4636000000001,558.7199999999999,658.904,0.4484167648094412,0.5288223081328755,0.5515832351905587,False,True,False,1,部分满足,12,0:00-1:00;1:00-2:00;2:00-3:00;3:00-4:00;4:00-5:00;5:00-6:00;6:00-7:00;9:00-10:00;11:00-12:00;13:00-14:00;14:00-15:00;23:00-24:00,0.4999999999999998,1.0,0.9999999999999994,1.0,0.4999999999999998,35.999999999999986,44.84167648094412,52.88223081328754,55.15832351905588
W2_PV2,风电场景2_光伏场景2,风电场景2,光伏场景2,36.0,165936.00453333338,4609.333459259261,277.3364,118.96039999999982,281.38360000000023,558.72,400.3440000000001,0.702854545091222,0.5036218499427266,0.297145454908778,True,True,False,2,部分满足,13,0:00-1:00;1:00-2:00;2:00-3:00;3:00-4:00;4:00-5:00;5:00-6:00;6:00-7:00;10:00-11:00;11:00-12:00;12:00-13:00;13:00-14:00;14:00-15:00;23:00-24:00,0.5,0.9230769230769232,0.4710265060240983,1.0,0.5,36.0,70.2854545091222,50.36218499427266,29.714545490877796
W2_PV3,风电场景2_光伏场景3,风电场景2,光伏场景3,36.0,219915.19373333344,6108.7553814814855,324.60400000000016,0.4679999999999963,234.116,558.7200000000001,234.584,0.9980049790267026,0.4190220504009163,0.0019950209732973,True,True,True,3,全满足,23,0:00-1:00;1:00-2:00;2:00-3:00;3:00-4:00;4:00-5:00;5:00-6:00;6:00-7:00;7:00-8:00;8:00-9:00;9:00-10:00;10:00-11:00;11:00-12:00;12:00-13:00;13:00-14:00;14:00-15:00;15:00-16:00;16:00-17:00;17:00-18:00;18:00-19:00;19:00-20:00;21:00-22:00;22:00-23:00;23:00-24:00,0.5000000000000001,0.5217391304347828,0.0999999999999999,1.0,0.5000000000000001,36.000000000000014,99.80049790267026,41.90220504009163,0.19950209732973
W2_PV4,风电场景2_光伏场景4,风电场景2,光伏场景4,36.0,252182.53983333329,7005.070550925924,392.1318,3.355799999999988,166.58820000000003,558.7199999999999,169.94400000000002,0.9802534952690298,0.29816043814433,0.0197465047309701,True,False,True,2,部分满足,20,0:00-1:00;1:00-2:00;2:00-3:00;3:00-4:00;4:00-5:00;5:00-6:00;6:00-7:00;7:00-8:00;8:00-9:00;9:00-10:00;12:00-13:00;13:00-14:00;14:00-15:00;15:00-16:00;16:00-17:00;17:00-18:00;18:00-19:00;19:00-20:00;22:00-23:00;23:00-24:00,0.5,0.5999999999999999,0.0999999999999999,1.0,0.5,35.99999999999999,98.02534952690299,29.816043814433,1.9746504730970098
W3_PV1,风电场景3_光伏场景1,风电场景3,光伏场景1,36.0,73344.90523333331,2037.358478703703,223.3262,445.4461999999999,335.3938,558.7199999999999,780.8399999999999,0.4295294810716664,0.6002895904925545,0.5704705189283336,False,True,False,1,部分满足,12,0:00-1:00;1:00-2:00;2:00-3:00;3:00-4:00;4:00-5:00;5:00-6:00;6:00-7:00;11:00-12:00;13:00-14:00;15:00-16:00;16:00-17:00;23:00-24:00,0.5,1.0,0.9999999999999998,1.0,0.5,36.0,42.95294810716664,60.02895904925545,57.04705189283336
W3_PV2,风电场景3_光伏场景2,风电场景3,光伏场景2,36.0,139527.6892333333,3875.7691453703696,237.4062,200.9662,321.3138,558.7199999999999,522.28,0.6152136784866354,0.5750891323024055,0.3847863215133645,True,True,False,2,部分满足,14,0:00-1:00;1:00-2:00;2:00-3:00;3:00-4:00;4:00-5:00;5:00-6:00;6:00-7:00;9:00-10:00;10:00-11:00;13:00-14:00;15:00-16:00;16:00-17:00;17:00-18:00;23:00-24:00,0.4999999999999999,0.8571428571428569,0.2540289156626497,1.0,0.4999999999999999,36.0,61.521367848663544,57.50891323024055,38.47863215133645
