scenario_id,wind_scenario,pv_scenario,hour,time,base_load_mw,wind_power_mw,pv_power_mw,renewable_power_mw,storage_capacity_mwh,power_ratio,on_status,alk_power_mw,pem_power_mw,ammonia_power_mw,hydrogen_ammonia_load_mw,total_load_mw,storage_charge_mw,storage_discharge_mw,soc_mwh,curtailment_mw,unserved_load_mw,hourly_ammonia_output_ton,wind_generation_cost_yuan,pv_generation_cost_yuan,alk_om_cost_yuan,pem_om_cost_yuan,ammonia_om_cost_yuan,storage_om_cost_yuan,hourly_net_cost_yuan
W1_PV1,风电场景1,光伏场景1,0,0:00-1:00,1.3698,9.776,0.0,9.776,115.0,0.20255903614457832,1,4.051180722891567,4.051180722891567,0.30383855421686745,8.4062,9.776,0.0,0.0,0.0,0.0,0.0,0.6076771084337349,1466.3999999999999,0.0,405.1180722891567,607.677108433735,0.6076771084337349,0.0,2479.802857831325
W1_PV1,风电场景1,光伏场景1,1,1:00-2:00,1.0998,10.904,0.0,10.904,115.0,0.2362457831325301,1,4.724915662650602,4.724915662650602,0.3543686746987952,9.8042,10.904,0.0,0.0,0.0,0.0,0.0,0.7087373493975904,1635.6,0.0,472.4915662650602,708.7373493975903,0.7087373493975904,0.0,2817.537653012048
W1_PV1,风电场景1,光伏场景1,2,2:00-3:00,0.7998000000000001,15.152,0.0,15.152,115.0,0.34583614457831324,1,6.916722891566264,6.916722891566264,0.5187542168674699,14.3522,15.152,0.0,0.0,0.0,0.0,0.0,1.0375084337349398,2272.7999999999997,0.0,691.6722891566264,1037.5084337349397,1.0375084337349398,0.0,4003.018231325301
W1_PV1,风电场景1,光伏场景1,3,3:00-4:00,0.99,13.312,0.0,13.312,115.0,0.2969156626506024,1,5.938313253012048,5.938313253012048,0.44537349397590353,12.322,13.312,0.0,0.0,0.0,0.0,0.0,0.8907469879518071,1996.8,0.0,593.8313253012047,890.7469879518071,0.8907469879518072,0.0,3482.269060240964
W1_PV1,风电场景1,光伏场景1,4,4:00-5:00,1.1802,15.072,0.0,15.072,115.0,0.3347421686746988,1,6.694843373493976,6.694843373493976,0.5021132530120482,13.8918,15.072,0.0,0.0,0.0,0.0,0.0,1.0042265060240965,2260.7999999999997,0.0,669.4843373493977,1004.2265060240964,1.0042265060240965,0.0,3935.5150698795183
W1_PV1,风电场景1,光伏场景1,5,5:00-6:00,1.6302,18.724,0.0,18.724,115.0,0.4118987951807229,1,8.237975903614458,8.237975903614458,0.6178481927710844,17.0938,18.724,0.0,0.0,0.0,0.0,0.0,1.2356963855421688,2808.6,0.0,823.7975903614459,1235.6963855421689,1.235696385542169,0.0,4869.329672289156
W1_PV1,风电场景1,光伏场景1,6,6:00-7:00,2.5002,9.628,14.08,23.708,115.0,0.5110313253012048,1,10.220626506024095,10.220626506024095,0.7665469879518072,21.2078,23.708,0.0,0.0,0.0,0.0,0.0,1.5330939759036144,1444.2,1689.6,1022.0626506024096,1533.0939759036141,1.5330939759036144,0.0,5690.489720481927
W1_PV1,风电场景1,光伏场景1,7,7:00-8:00,3.3702,22.804,25.6,48.404,115.0,0.9999999999999999,1,19.999999999999996,19.999999999999996,1.4999999999999998,41.49999999999999,44.87019999999999,0.0,0.0,0.0,3.53380000000001,0.0,2.9999999999999996,3420.6,3072.0,1999.9999999999998,2999.9999999999995,2.9999999999999996,0.0,11495.6
W1_PV1,风电场景1,光伏场景1,8,8:00-9:00,4.0098,17.852,37.12,54.972,115.0,1.0,1,20.0,20.0,1.5,41.5,45.5098,6.293522713363125,0.0,5.664170442026813,3.1686772866368753,0.0,3.0,2677.7999999999997,4454.4,2000.0,3000.0,3.0,62.93522713363125,12198.13522713363
W1_PV1,风电场景1,光伏场景1,9,9:00-10:00,4.199999999999999,14.328,46.08,60.408,115.0,1.0,1,20.0,20.0,1.5,41.5,45.7,14.707999999999997,0.0,18.890042101142758,0.0,0.0,3.0,2149.2,5529.599999999999,2000.0,3000.0,3.0,147.07999999999996,12828.88
